region,head_of_state
Southern Europe,Rexhep Mejdani
Southern Europe,
Southern Europe,Ante Jelavic
Southern Europe,Juan Carlos I
Southern Europe,Elisabeth II
Southern Europe,Kostis Stefanopoulos
Southern Europe,Stipe Mesic
Southern Europe,Carlo Azeglio Ciampi
Southern Europe,Boris Trajkovski
Southern Europe,Guido de Marco
Southern Europe,Jorge Sampaio
Southern Europe,
Southern Europe,Milan Kucan
Southern Europe,Johannes Paavali II
Southern Europe,Vojislav KoStunica
Middle East,Zayid bin Sultan al-Nahayan
Middle East,Robert KotSarjan
Middle East,Heydar aliyev
Middle East,Hamad ibn Isa al-Khalifa
Middle East,Glafkos Klerides
Middle East,Eduard Sevardnadze
Middle East,Saddam Hussein al-Takriti
Middle East,Moshe Katzav
Middle East,Abdullah II
Middle East,Jabir al-Ahmad al-Jabir al-Sabah
Middle East,emile Lahoud
Middle East,Qabus ibn Sa id
Middle East,Yasser (Yasir) Arafat
Middle East,Hamad ibn Khalifa al-Thani
Middle East,Fahd ibn Abdul-Aziz al-Sa ud
Middle East,Bashar al-Assad
Middle East,Ahmet Necdet Sezer
Middle East,Ali Abdallah Salih
